"createDt","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","seq","stdDay","updateDt"
2020-12-23,"1","2370","검역","隔離區","Lazaretto","9","1660","709","0","9","-","6562","2020년 12월 23일 00시","null"
2020-12-23,"0","304","제주","<U+6D4E>州","Jeju","33","105","199","33","0","45.32","6561","2020년 12월 23일 00시","null"
2020-12-23,"3","1124","경남","<U+5E86>南","Gyeongsangnam-do","29","796","325","28","1","33.44","6560","2020년 12월 23일 00시","null"
2020-12-23,"61","2119","경북","<U+5E86>北","Gyeongsangbuk-do","25","1734","324","25","0","79.59","6559","2020년 12월 23일 00시","null"
2020-12-23,"5","525","전남","全南","Jeollanam-do","12","445","75","12","0","28.15","6558","2020년 12월 23일 00시","null"
2020-12-23,"7","713","전북","全北","Jeollabuk-do","21","467","239","20","1","39.23","6557","2020년 12월 23일 00시","null"
2020-12-23,"20","1316","충남","忠南","Chungcheongnam-do","11","991","305","11","0","62.00","6556","2020년 12월 23일 00시","null"
2020-12-23,"15","892","충북","忠北","Chungcheongbuk-do","58","463","414","58","0","55.77","6555","2020년 12월 23일 00시","null"
2020-12-23,"13","1012","강원","江原","Gangwon-do","13","720","279","13","0","65.69","6554","2020년 12월 23일 00시","null"
2020-12-23,"191","12459","경기","京畿","Gyeonggi-do","310","8786","3483","298","11","94.04","6553","2020년 12월 23일 00시","2020-12-24 09:42:15.672"
2020-12-23,"0","131","세종","世宗","Sejong","1","123","8","1","0","38.27","6552","2020년 12월 23일 00시","null"
2020-12-23,"20","586","울산","蔚山","Ulsan","18","333","233","16","2","51.09","6551","2020년 12월 23일 00시","null"
2020-12-23,"6","743","대전","大田","Daejeon","35","599","138","34","1","50.40","6550","2020년 12월 23일 00시","null"
2020-12-23,"4","941","광주","光州","Gwangju","36","771","166","35","1","64.60","6549","2020년 12월 23일 00시","null"
2020-12-23,"20","2430","인천","仁川","Incheon","49","1665","745","46","3","82.20","6548","2020년 12월 23일 00시","null"
2020-12-23,"200","7581","대구","大邱","Daegu","24","7122","259","24","0","311.14","6547","2020년 12월 23일 00시","null"
2020-12-23,"28","1571","부산","釜山","Busan","32","1082","461","32","0","46.05","6546","2020년 12월 23일 00시","null"
2020-12-23,"145","15731","서울","首<U+5C14>","Seoul","376","8864","6723","372","3","161.63","6545","2020년 12월 23일 00시","2020-12-24 09:41:54.996"
2020-12-23,"739","52548","합계","合<U+8BA1>","Total","1090","36726","15085","1059","32","101.35","6544","2020년 12월 23일 00시","2020-12-24 09:41:30.685"
2020-12-23,"1","2370","검역","隔離區","Lazaretto","9","1658","702","0","9","-","6543","2020년 12월 23일 00시","null"
2020-12-23,"0","304","제주","<U+6D4E>州","Jeju","33","103","168","33","0","45.32","6542","2020년 12월 23일 00시","null"
2020-12-23,"3","1124","경남","<U+5E86>南","Gyeongsangnam-do","29","768","324","28","1","33.44","6541","2020년 12월 23일 00시","null"
2020-12-23,"61","2119","경북","<U+5E86>北","Gyeongsangbuk-do","25","1721","312","25","0","79.59","6540","2020년 12월 23일 00시","null"
